CODE_UIC,LIBELLE,,VOYAGEURS,COMMUNE,DEPARTEMEN,IDRESEAU,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Gare,Typologie_de_la_gare,Segmentation_marketing,satisfaction_global,orientation_client,bien_etre_en_gare,confort_attente
87592170,Pérols,,O,PEROLS-SUR-VEZERE,CORREZE,5966,620285.4772000015,6498882.0535,1.977687227245846,45.58480449106402,45.58480449106402, 1.977687227245846,,,,,,,
87775023,Beaucaire,,O,BEAUCAIRE,GARD,3126,832578.5248999968,6301732.239,4.647372766110843,43.802158264377375,43.802158264377375, 4.647372766110843,,,,,,,
87343319,Raismes,,O,RAISMES,NORD,6198,734096.1332999989,7032591.8412999995,3.478796397466136,50.390022831956706,50.390022831956706, 3.478796397466136,,,,,,,
87214635,Urmatt,,O,URMATT,BAS-RHIN,7058,1020238.2536000013,6833853.9032000005,7.339126444279431,48.525715589868824,48.525715589868824, 7.339126444279431,,,,,,,
87543538,Sully-sur-Loire,,N,SULLY-SUR-LOIRE,LOIRET,6908,652761.9155000001,6740122.741599999,2.369459358034141,47.759800350075466,47.759800350075466, 2.3694593580341405,,,,,,,
87276501,Presles-Courcelles,,O,PRESLES,VAL-D'OISE,6155,648009.0116999969,6890639.6708,2.287901978158134,49.11345994243122,49.11345994243122, 2.2879019781581342,,,,,,,
87116640,Crouy-sur-Ourcq,,O,CROUY-SUR-OURCQ,SEINE-ET-MARNE,3895,704597.4737000018,6887978.1752,3.062942239102605,49.09162143666499,49.09162143666499, 3.0629422391026053,,,,,,,
87116590,Mézy,,N,MEZY-MOULINS,AISNE,5506,737008.5864000022,6885326.441399999,3.506430604663262,49.06672820225904,49.06672820225904, 3.506430604663262,,,,,,,
87473272,Plancoët,,O,PLANCOET,COTES-D'ARMOR,6015,314157.3545999974,6837356.807700001,-2.228808444008036,48.52143574734171,48.52143574734171, -2.228808444008036,,,,,,,
87471359,Retiers,,O,RETIERS,ILLE-ET-VILAINE,6239,372243.9874000028,6766099.489500001,-1.389795493132067,47.91327245102402,47.91327245102402, -1.389795493132067,,,,,,,
87594275,Meymac,,O,MEYMAC,CORREZE,5497,634724.5732000023,6492628.8389,2.163697861677172,45.53002999690653,45.53002999690653, 2.1636978616771723,,,,,,,
87212324,Kilstett,,O,KILSTETT,BAS-RHIN,4553,1057229.0108999982,6853143.703899998,7.855196999735624,48.679576553372144,48.679576553372144, 7.8551969997356235,,,,,,,
87645168,Maurs,,O,MAURS,CANTAL,5424,636617.3093999997,6401088.439300001,2.199829972954882,44.70602575389665,44.70602575389665, 2.199829972954882,,,,,,,
87391532,Vanves-Malakoff,,O,VANVES,HAUTS-DE-SEINE,7098,648005.3271000013,6857803.919,2.291884534098069,48.81820275404127,48.81820275404127, 2.291884534098069,,,,,,,
87775395,Remoulins-Pont-du-Gard,,N,REMOULINS,GARD,6230,825933.0986000001,6316687.354800001,4.568512128266995,43.93793239441576,43.93793239441576, 4.568512128266995,,,,,,,
87718304,Franois,,O,FRANOIS,DOUBS,4224,921799.4161000028,6684705.010200001,5.93184604552049,47.22558033049808,47.22558033049808, 5.93184604552049,,,,,,,
87192039,Metz-Ville,,O,METZ,MOSELLE,5484,931948.822300002,6894575.4142,6.177442838036328,49.10898911419044,49.10898911419044, 6.1774428380363275,,,,,,,
