"UIC","Gare","","Lundi","Mardi","Mercredi","Jeudi","Vendredi","Samedi","Dimanche_jours_feries ","","","","","","","","","",""
"281006","DUNKERQUE","","4h45 - 21h30","4h45 - 21h30","4h45 - 21h30","4h45 - 21h30","4h45 - 21h30","5h10 - 21h30","7h00 - 21h30","","","","","","","","","",""
"313387","ESTREES-ST-DENIS","","6h10 - 13h25","-","10h40 - 12h30 / 13h30 - 18h25","-","10h25 - 17h40","-","-","","","","","","","","","",""
"317065","ETAPLES-LE-TOUQUET","","5h30 - 20h00","5h30 - 20h00","5h30 - 20h00","5h30 - 20h00","5h30 - 20h00","6h00 - 20h00","8h20 - 20h00","","","","","","","","","",""
"295048","FOURMIES","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"281246","GRAVELINES","","-","6h00 - 12h00 / 14h00 - 18h00","6h00 - 12h00 / 14h00 - 18h00,","6h00 - 12h00 / 14h00 - 18h00","6h00 - 12h00 / 14h00 - 18h00","6h00 - 12h00 / 14h00 - 18h00","-","","","","","","","","","",""
"171736","GUIGNICOURT (Aisne)","","6h45 - 13h20","6h45 - 13h20","6h45 - 13h20","6h45 - 13h20","6h45 - 13h20","-","-","","","","","","","","","",""
"313494","HAM (Somme)","","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","7h00 - 12h00 / 13h00 - 15h15","9h30 - 12h00 / 13h00 - 17h45","","","","","","","","","",""
"286096","HAUBOURDIN","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"295568","HAUTMONT","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","-","","","","","","","","","",""
"286302","HAZEBROUCK","","4h45 - 22h00","4h45 - 22h00","4h45 - 22h00","4h45 - 22h00","4h45 - 22h00","5h55 - 22h00","7h40 - 22h00","","","","","","","","","",""
"345157","HENIN-BEAUMONT","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"313585","HERMES-BERTHECOURT","","5h20 - 19h45","5h20 - 19h45","5h20 - 19h45","5h20 - 19h45","5h20 - 19h45","-","-","","","","","","","","","",""
"317222","HESDIN","","5h30 - 20h10","5h30 - 20h10","5h30 - 20h10","5h30 - 20h10","5h30 - 20h10","5h55 - 20h55","8h40 - 21h00","","","","","","","","","",""
"295063","HIRSON","","5h00 - 23h00","5h00 - 23h00","5h00 - 23h00","5h00 - 23h00","5h00 - 23h00","6h00 - 20h45","8h00 - 21h10","","","","","","","","","",""
"342279","ISBERGUES","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","9h00 - 12h030 / 13h00 - 17h00","-","","","","","","","","","",""
"295014","JEUMONT","","4h40 - 22h10","4h40 - 22h10","4h40 - 22h10","4h40 - 22h10","4h40 - 22h10","6h10 - 20h20","8h00 - 20h50","","","","","","","","","",""
"342436","LA BASSEE","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"296632","LA FERE","","6h00 - 13h15","6h00 - 13h15","6h00 - 13h15","6h00 - 13h15","6h00 - 13h15","-","-","","","","","","","","","",""
"116673","LA FERTE-MILON","","5h20 - 19h30","5h20 - 19h30","5h20 - 19h30","5h20 - 19h30","5h20 - 19h30","5h20 - 19h30","5h20 - 19h30","","","","","","","","","",""
"286187","LA MADELEINE (Nord)","","9h00 - 18h00","9h00 - 18h00","9h00 - 18h00","9h00 - 18h00","9h00 - 18h00","9h00 - 12h15 / 13h15 - 17h00","-","","","","","","","","","",""
"296012","LAON","","4h45 - 21h30","4h45 - 21h30","4h45 - 21h30","4h45 - 21h30","4h45 - 23h05","5h45 - 22h00","6h30 - 23h05","","","","","","","","","",""
"295220","LE CATEAU","","12h00 - 19h00","-","12h00 - 19h00","-","12h00 - 19h00","-","-","","","","","","","","","",""
"271551","LE PLESSIS-BELLEVILLE","","5h40 - 12h55","5h40 - 12h55","5h40 - 12h55","-","-","-","-","","","","","","","","","",""
"345223","LEFOREST","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","-","-","","","","","","","","","",""
"345025","LENS","","5h10 - 22h30","5h10 - 22h30","5h10 - 22h30","5h10 - 22h30","5h10 - 22h30","6h05 - 21h35","7h30 - 21h35","","","","","","","","","",""
"295857","LE-QUESNOY (Nord)","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"286849","LESQUIN","","6h00 - 9h00 / 11h00 - 18h00","6h00 - 9h00 / 11h00 - 18h00","6h00 - 9h00 / 11h00 - 18h00","6h00 - 9h00 / 11h00 - 18h00","6h00 - 9h00 / 11h00 - 18h00","-","-","","","","","","","","","",""
"276212","LIANCOURT-RANTIGNY","","5h40 - 19h55","5h40 - 19h55","5h40 - 19h55","5h40 - 19h55","5h40 - 19h55","5h40 - 12h55","12h40 - 19h55","","","","","","","","","",""
"345256","LIBERCOURT","","6h00 - 18h30","6h00 - 18h30","6h00 - 18h30","6h00 - 18h30","6h00 - 18h30","10h00 - 17h00","-","","","","","","","","","",""
"223263","LILLE-EUROPE","","5h00 - 23h25","5h00 - 23h25","5h00 - 23h25","5h00 - 23h25","5h00 - 23h25","5h00 - 23h25","5h10 - 0h20","","","","","","","","","",""
"286005","LILLE-FLANDRES","","4h35 - 0h15","4h35 - 0h15","4h35 - 0h15","4h35 - 0h15","4h35 - 0h15","5h55 - 0h15","5h45 - 0h15","","","","","","","","","",""
"342238","LILLERS","","6h00 - 9h00 / 11h30 - 18h30","6h00 - 9h00 / 11h30 - 18h30","6h00 - 9h00 / 11h30 - 18h30","6h00 - 9h00 / 11h30 - 18h30","6h00 - 9h00 / 11h30 - 18h30","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"313122","LONGPRE-LES-CORPS-SAINTS","","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","6h15 - 13h30","-","-","","","","","","","","","",""
"313049","LONGUEAU","","5h45 - 22h00","5h45 - 22h00","5h45 - 22h00","5h45 - 22h00","5h45 - 22h00","5h50 - 21h45","6h05 - 21h45","","","","","","","","","",""
"286112","LOOS-LEZ-LILLE","","9h00 - 12h00 / 13h30 - 17h30","9h00 - 12h00 / 13h30 - 17h30","-","9h00 - 12h00 / 13h30 - 17h30","-","-","-","","","","","","","","","",""
"317339","MARQUISE-RINXENT","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","-","-","","","","","","","","","",""
"295006","MAUBEUGE","","4h40 - 21h55","4h40 - 21h55","4h40 - 21h55","4h40 - 21h55","4h40 - 21h55","6h00 - 21h55","8h00 - 21h55","","","","","","","","","",""
"313668","MERU","","5h05 - 20h20","5h05 - 20h20","5h05 - 20h20","5h05 - 20h20","5h05 - 20h20","5h05 - 20h20","6h35 - 21h20","","","","","","","","","",""
"276618","MONTATAIRE","","6h00 - 12h15","6h00 - 12h15","6h00 - 12h15","6h00 - 12h15","6h00 - 12h15","-","-","","","","","","","","","",""
